serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,item_title,retail_price
2 tbsp. (28g),70.0,7.0,5.0,0.0,20.0,70.0,1.0,0.0,0.5,2.0,0.0,52.0,0.0,0.0,"""Stracciatella"" Burata Filling",Burrata Filling,4.49
0.8 cup (170g),110.0,0.0,0.0,0.0,10.0,75.0,7.0,0.0,5.0,17.0,0.0,190.0,0.0,240.0,"0% Greek Yogurt, Nonfat, Plain",Nonfat Plain Greek Yogurt,0.99
1 container (150g),130.0,0.0,0.0,0.0,5.0,60.0,18.0,0.0,15.0,11.0,0.8,130.0,0.4,188.0,0% Milkfat Greek Nonfat Yogurt,Greek Spanakopita,4.49
1 container (150g),130.0,0.0,0.0,0.0,5.0,60.0,18.0,0.0,15.0,12.0,0.8,130.0,0.4,188.0,0% Milkfat Strawberry Greek Nonfat Yogurt,Sparkling Strawberry Juice,3.99
1 1-inch cube (28g),120.0,10.0,7.0,0.0,30.0,270.0,0.0,0.0,0.0,8.0,0.0,260.0,0.0,0.0,"1,000 Day Gouda Cheese",1000 Day Gouda Cheese,12.99
0.5 cup (113g),90.0,2.0,1.0,0.0,10.0,320.0,5.0,0.0,4.0,13.0,0.0,130.0,0.0,94.0,1% Milkfat Minimum Small Curd Low Fat Cottage Cheese,Shredded Unexpected Cheddar Cheese,4.99
8 fl oz,110.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,23.0,2.0,0.0,30.0,0.0,450.0,100% Orange Juice with Extra Pulp,100% Orange Juice No Pulp,4.99
8 fl oz,110.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,23.0,2.0,0.0,30.0,0.0,450.0,"100% Orange Juice, No Pulp",100% Orange Juice No Pulp,4.99
8 fl oz,120.0,0.0,0.0,0.0,0.0,15.0,29.0,0.0,25.0,1.0,0.0,30.0,0.5,300.0,100% Orange Peach Mango Juice,Orange Peach Mango Juice,2.99
8 fl oz,90.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,17.0,1.0,0.0,20.0,0.0,300.0,"100% Pure Grapefruit Juice, Ruby Red",Dozen Red Roses,9.99
1 slice (43g),80.0,1.5,0.0,0.0,0.0,110.0,17.0,5.0,2.0,5.0,0.0,20.0,1.1,70.0,"100% Whole Grain Fiber Bread, Multigrain",Whole Wheat Sliced Bread,2.49
1 1-inch cube (28g),120.0,10.0,7.0,0.0,30.0,270.0,0.0,0.0,0.0,8.0,0.0,260.0,0.0,0.0,1000 Day Gouda Cheese,1000 Day Gouda Cheese,12.99
1 croissini (40g),140.0,8.0,4.0,0.0,15.0,160.0,15.0,1.0,2.0,2.0,0.0,60.0,1.3,40.0,27 Layer Sesame Croissini,Sesame Crusted Hardwood Smoked Ahi Tuna,6.99
0.3 cup (28g),100.0,8.0,5.0,0.0,25.0,170.0,0.5,0.0,0.0,7.0,0.1,200.0,0.1,30.0,"3 Cheese Blend, Shredded",Shredded 3 Cheese Blend,4.29
17 crackers (30g),150.0,8.0,1.0,0.0,0.0,50.0,18.0,0.0,0.5,2.0,0.0,10.0,0.8,110.0,3 Seed Beet Crackers,3 Seed Beet Crackers,1.99
17 crackers (30g),160.0,9.0,1.0,0.0,0.0,35.0,17.0,2.0,2.0,2.0,0.0,30.0,0.6,110.0,3 Seed Sweet Potato Crackers,Sweet Potato,0.89
2 waffles (80g),250.0,12.0,1.0,1.0,25.0,300.0,30.0,2.0,3.0,5.0,0.2,10.0,0.7,80.0,4 Authentic Belgian Waffles,Strawberry Waffles,2.49
1 cup (94g),250.0,10.0,3.5,0.0,55.0,620.0,31.0,1.0,5.0,9.0,0.0,78.0,0.7,282.0,4 Cheese Ravioli,4 Cheese Ravioli,2.99
1 inch cube (28g),120.0,10.0,5.0,0.0,30.0,180.0,0.5,0.0,0.0,7.0,0.4,195.0,0.0,0.0,4 Years Cheddar Cheese,Shredded Unexpected Cheddar Cheese,4.99
0.5 cup (113g),110.0,5.0,3.0,0.0,20.0,320.0,5.0,0.0,3.0,12.0,0.2,100.0,0.0,100.0,4% Milkfat Minimum Small Curd Cottage Cheese,Small Curd Cottage Cheese,2.99
1 slice (28g),80.0,0.0,0.0,0.0,0.0,85.0,17.0,3.0,1.0,4.0,0.0,10.0,0.8,80.0,7-Grain Bread,Sprouted Wheat Sourdough Bread,3.99
1 bar (47g),250.0,18.0,11.0,0.0,0.0,0.0,18.0,7.0,12.0,4.0,0.8,26.0,9.0,376.0,72% Cacao Dark Chocolate,Pound Plus 72% Cacao Dark Chocolate,6.99
2 squares (25g),130.0,10.0,6.0,0.0,0.0,0.0,10.0,4.0,7.0,2.0,0.4,10.0,5.1,220.0,72% Cacao Dark Chocolate Bar,Organic Dark Chocolate Bar 73% Cacao,1.99
1 tbsp. (15g),80.0,6.0,3.5,0.0,0.0,0.0,7.0,2.0,4.0,1.0,0.0,10.0,0.5,90.0,72% Cacao Dark Chocolate Chips,Plantain Chips,1.99
