serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein,vitamin_d,calcium,iron,potassium,item,retail_price,calc_calories
2 tbsp. (28g),70.0,7.0,5.0,0.0,20.0,70.0,1.0,0.0,0.5,2.0,0.0,52.0,0.0,0.0,"""Stracciatella"" Burata Filling",4.49,75.0
0.8 cup (170g),110.0,0.0,0.0,0.0,10.0,75.0,7.0,0.0,5.0,17.0,0.0,190.0,0.0,240.0,"0% Greek Yogurt, Nonfat, Plain",0.99,96.0
1 container (150g),130.0,0.0,0.0,0.0,5.0,60.0,18.0,0.0,15.0,11.0,0.8,130.0,0.4,188.0,0% Milkfat Greek Nonfat Yogurt,4.49,116.0
1 container (150g),130.0,0.0,0.0,0.0,5.0,60.0,18.0,0.0,15.0,12.0,0.8,130.0,0.4,188.0,0% Milkfat Strawberry Greek Nonfat Yogurt,3.99,120.0
1 1-inch cube (28g),120.0,10.0,7.0,0.0,30.0,270.0,0.0,0.0,0.0,8.0,0.0,260.0,0.0,0.0,"1,000 Day Gouda Cheese",12.99,122.0
Unknown,686.86,2.54,1.58,0.0,155.0,1607.0,155.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,1% Low Fat Milk,3.99,686.86
Unknown,590.86,2.54,1.58,0.0,103.0,1255.0,134.0,0.0,12.0,8.0,0.0,0.0,0.0,41012.0,1% Milk,3.99,590.86
Unknown,642.86,2.54,1.58,0.0,103.0,1406.0,145.0,0.0,14.0,10.0,0.0,0.0,0.0,44013.0,1% Milkfat Low Fat Milk,3.99,642.86
0.5 cup (113g),90.0,2.0,1.0,0.0,10.0,320.0,5.0,0.0,4.0,13.0,0.0,130.0,0.0,94.0,1% Milkfat Minimum Small Curd Low Fat Cottage Cheese,4.99,90.0
Unknown,658.86,2.54,0.0,0.0,0.0,1607.0,155.0,28.0,0.5,4.0,0.0,0.0,0.0,0.0,10 Grain Bread,3.99,658.86
1 can,110.0,0.0,0.0,0.0,0.0,35.0,27.0,1.0,25.0,0.0,0.0,20.0,0.3,130.0,100& Pineapple Juice,2.99,108.0
Unknown,992.0,0.0,0.0,0.0,0.0,151.0,248.0,0.0,19.0,0.0,0.0,0.0,0.0,1805.0,100% Blueberry Juice from Concentrate,4.99,992.0
1 tbsp (14g),120.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100% Canola Oil,4.99,126.0
Unknown,3.6,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100% Colombian Instant Coffee,4.49,3.6
Unknown,706.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,17.0,0.5,0.0,0.0,0.0,1103.0,100% Cranberry Juice,3.29,706.0
1 packet (15g),60.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,100% Ginger Drink Mix,3.49,56.0
1 tbsp,130.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100% Greek Kalamata Extra Virgin Olive Oil,3.99,126.0
8 fl oz,110.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,23.0,2.0,0.0,30.0,0.0,450.0,100% Orange Juice with Extra Pulp,4.99,112.0
8 fl oz,110.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,23.0,2.0,0.0,30.0,0.0,450.0,"100% Orange Juice, No Pulp",4.99,112.0
8 fl oz,120.0,0.0,0.0,0.0,0.0,15.0,29.0,0.0,25.0,1.0,0.0,30.0,0.5,300.0,100% Orange Peach Mango Juice,2.99,120.0
8 fl oz,120.0,0.0,0.0,0.0,0.0,10.0,29.0,0.5,24.0,0.0,0.0,0.0,0.0,260.0,"100% Pink Lady Apple Cider, Unfiltered",4.99,116.0
1 bottle,80.0,0.0,0.0,0.0,0.0,45.0,19.0,0.0,18.0,0.0,0.0,0.0,0.0,750.0,100% Pure Coconut Water,1.69,76.0
Unknown,912.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,"100% Pure Florida Grapefruit Juice, Ruby Red",1.49,912.0
Unknown,1084.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,22.0,2.0,0.0,0.0,0.0,45013.0,100% Pure Florida Orange Juice,3.29,1084.0
